slug	nom	categorie	usage	fond	temperature	accent	bg	fg	classe_titre	police_titre	classe_corps	police_corps	titre_px	corps_px	rayon_px	section_y_px	conteneur_px	allure
spacex	SpaceX	Media & Consumer	MARQUE	sombre	neutre	#f0f0fa	#000000	#f0f0fa	grotesque	D-DIN-Bold	grotesque	D-DIN	40	16	4	120	1440	Cinematic aerospace minimalism: pure black canvas, full-viewport photography, D-DIN industrial type, universal uppercase + positive
spacious	Spacious	Layout & Structure	libre	clair	chaud	#8f5d24	#faf3df	#211b12	grotesque	Inter	grotesque	Inter	64	17	16	112	1180	spacious interface with airy sections, soft surfaces, and generous layout rhythm.
spotify	Spotify	Media & Consumer	MARQUE	sombre	vert	#1ed760	#121212	#ffffff	geometrique	SpotifyMixUITitle	geometrique	SpotifyMixUI	24	16	6	64	1280	dark theme, vibrant green accent, bold type, album-art-driven.
starbucks	Starbucks	E-Commerce & Retail	MARQUE	clair	vert	#00754a	#f2f0eb	#000000	grotesque	SoDoSans	grotesque	SoDoSans	45	16	12	64	1440	Warm cream canvas, four-tier green system, full-pill buttons, whisper- soft layered shadows, and SoDoSans with universal -0.01em tracking.
storytelling	Storytelling	Creative & Artistic	libre	clair	chaud	#9b5b32	#fbf6ee	#201914	serif	Georgia	grotesque	Inter	64	17	16	112	1180	storytelling design language with warm paper, narrative modules, and editorial pacing.
stripe	Stripe	Fintech & Crypto	MARQUE	clair	froid	#533afd	#ffffff	#061b31	grotesque	sohne-var	grotesque	sohne-var	48	16	6	96	1080	infrastructure dressed in deep navy, signature violet, and the blue-tinted multi-layer shadow that makes elevation feel branded.
supabase	Supabase	Backend & Data	MARQUE	sombre	vert	#3ecf8e	#171717	#fafafa	geometrique	Circular	geometrique	Circular	36	16	8	128	1200	alternative whose marketing surface reads like a dark-mode editor that grew up: near-black canvas (#171717), Postgres-emerald (#3ecf8e) reserved
superhuman	Superhuman	Developer Tools	MARQUE	clair	froid	#cbb7fb	#ffffff	#292827	grotesque	Super Sans VF	grotesque	Super Sans VF	48	16	8	80	1200	Premium keyboard-first email client. Predominantly white canvas with a single dramatic gesture of color (deep purple hero), warm cream CTAs,
tesla	Tesla	Automotive	MARQUE	clair	froid	#3e6ae1	#ffffff	#171a20	grotesque	Universal Sans Display	grotesque	Universal Sans Text	28	14	12	120	1383	radical subtraction, full-viewport photography, near-zero UI. This file is the *machine-readable* form of the values described in
tetris	Tetris	Themed & Unique	MARQUE	sombre	cyan	#00f0f0	#050816	#f8fafc	grotesque	Press Start 2P	grotesque	Inter	40	14	0	80	1100	arcade grid system with black board surfaces and bright geometric block colors.
theverge	The Verge	Media & Consumer	MARQUE	sombre	rose	#ff00a8	#050505	#ffffff	grotesque	PolySans	grotesque	Inter	66	16	8	88	1240	high-energy technology magazine with black surfaces, magenta signal, and dense editorial cards.
together-ai	Together AI	AI & LLM	MARQUE	clair	froid	#010120	#ffffff	#000000	grotesque	The Future	grotesque	The Future	40	16	8	80	1200	Pastel-gradient dreamscape for enterprise AI infrastructure: airy optimism meets technical precision, dual light/dark world approach.
tom-modern	Tom Modern Design	Starter	libre	clair	chaud	#ff5a00	#fafafa	#27272a	grotesque	Geist Sans	grotesque	Geist Sans	38	15	0	96	1240	Tom Modern Design System — tokens.css
totality-festival	Totality Festival	Themed & Unique	libre	sombre	violet	#c084fc	#070711	#f8f7ff	grotesque	Inter	grotesque	Inter	54	16	16	96	1180	festival identity with cosmic dark surfaces, warm highlights, and event-program cards.
trading-terminal	Trading Terminal Design System	Themed & Unique	libre	sombre	cyan	#38bdf8	#070b12	#f8fafc	grotesque	Inter	grotesque	Inter	40	14	8	80	1320	professional trading terminal with dark market panels, green-red status, and compact data density.
uber	Uber	Media & Consumer	MARQUE	clair	neutre	#000000	#ffffff	#000000	grotesque	UberMove	grotesque	UberMoveText	36	16	8	80	1136	pill-shaped everything, tight urban energy.
urdu	Urdu Modern (Indus Script System)	Editorial / Personal / Publication	libre	clair	vert	#1f8f46	#f3faf4	#15261a	serif	Georgia	grotesque	Inter	54	16	16	96	1180	Urdu editorial language with green cultural accent, warm paper, and composed reading surfaces.
vercel	Vercel	Developer Tools	MARQUE	clair	froid	#0070f3	#ffffff	#171717	grotesque	Geist	grotesque	Geist	40	16	8	96	1200	thesis of frontend deployment: a near-white canvas, near-black text, one saturated blue accent, and a shadow-as-border philosophy that
vibrant	Vibrant	Bold & Expressive	libre	clair	chaud	#ff6b00	#fff8d7	#1d1836	grotesque	Inter	grotesque	Inter	54	16	16	96	1180	vibrant visual system with saturated accents, warm surfaces, and optimistic product energy.
vintage	Vintage	Retro & Nostalgic	libre	clair	chaud	#8f5d24	#faf3df	#211b12	serif	Georgia	grotesque	Inter	64	17	16	112	1180	vintage interface with aged paper, muted ink, and heritage-inspired controls.
vodafone	Vodafone	Media & Consumer	MARQUE	clair	rouge	#e60000	#ffffff	#1f1f1f	grotesque	Vodafone	grotesque	Vodafone	48	16	16	96	1200	bright red telecom clarity balanced by white service surfaces and practical controls.
voltagent	VoltAgent	AI & LLM	MARQUE	sombre	vert	#7cff6b	#07110c	#f4fff8	grotesque	Inter	grotesque	Inter	46	15	12	96	1180	dark agent runtime surfaces, neon green command signals, and technical orchestration cards.
warm-editorial	Warm Editorial	Starter	libre	clair	chaud	#9b5b32	#fbf6ee	#201914	serif	Georgia	grotesque	Inter	64	17	16	112	1180	warm editorial system with cream canvas, serif display, and calm publication rhythm.
warp	Warp	Developer Tools	MARQUE	sombre	neutre	#353534	#161412	#faf9f6	grotesque	Matter Regular	grotesque	Matter Regular	56	18	12	120	1500	Warm dark canvas, near-black like charred wood. Almost monochromatic warm grays. Matter Regular (weight 400) carries every tier — even
webex	Webex	Productivity & SaaS	MARQUE	clair	cyan	#00a3a6	#f6f8fb	#0f172a	grotesque	CiscoSansTT	grotesque	CiscoSansTT	44	16	18	96	1180	cool collaboration surfaces with teal and violet meeting signals.
webflow	Webflow	Design & Creative	MARQUE	clair	froid	#146ef5	#ffffff	#080808	grotesque	WF Visual Sans Variable	grotesque	WF Visual Sans Variable	56	16	4	96	1200	The visual web builder: a white marketing-grade canvas, near-black ink, the signature Webflow Blue (#146ef5), conservative 4px corners,
wechat	WeChat Design System	Social & Messaging	MARQUE	clair	vert	#07c160	#ededed	#1a1a1a	grotesque	-apple-system	grotesque	-apple-system	32	15	8	72	1200	social, payment, and mini-program super-app. The visual language is a quiet, light-friendly consumer canvas built around one decisive
wired	WIRED	Media & Consumer	MARQUE	clair	rouge	#e10600	#ffffff	#000000	grotesque	Druk Wide	serif	Exchange	68	17	0	88	1180	authoritative technology journalism with monochrome discipline and sharp red alerts.
wise	Wise	Fintech & Crypto	MARQUE	clair	vert	#9fe870	#ffffff	#0e0f0c	grotesque	Wise Sans	grotesque	Inter	64	18	30	80	1280	Money without borders: bright spring-green CTAs on warm-neutral canvas, billboard Wise Sans at weight 900 with 0.85 line-height, pill buttons,
x-ai	xAI	AI & LLM	MARQUE	sombre	neutre	#ffffff	#1f2228	#ffffff	mono	GeistMono	grotesque	universalSans	40	16	0	96	1200	brutalist minimalism of Elon Musk's AI lab. A design system that communicates through absence: pure white on warm near-black, GeistMono
xiaohongshu	Xiaohongshu	Media & Consumer	MARQUE	clair	rouge	#ff2442	#f5f5f5	#000000	grotesque	PingFang SC	grotesque	PingFang SC	28	16	12	64	1200	(小红书 / RED) — the Chinese lifestyle UGC discovery platform. The visual baseline is *daily-ness*: a near-white masonry canvas that
zapier	Zapier	Productivity & SaaS	MARQUE	clair	chaud	#ff4f00	#fff7ed	#2d2a26	grotesque	Degular	grotesque	Inter	52	16	12	96	1160	warm automation workspace with off-white canvas, orange connectors, and approachable cards.
